positive_score,negative_score,entity_count,key_phrase_count,is_positive,is_negative,is_mixed,avg_amount,std_amount,max_amount,total_amount,pct_online,pct_international,n_transactions,hour_variability,is_fraud
0.414,0.136,5,4,0,0,0,76.05,38.95,121.43,947.41,0.31,0.04,23,2.2,0
0.189,0.673,10,11,0,1,0,201.99,98.77,675.17,3647.68,0.85,0.56,21,6.4,1
0.187,0.599,8,6,0,1,0,423.28,178.7,1164.86,4177.16,0.81,0.47,16,9.7,1
0.326,0.07,6,3,0,0,1,76.7,17.11,133.26,1238.03,0.17,0.09,25,2.1,0
0.153,0.647,5,11,0,1,0,388.56,112.5,807.28,2235.37,0.61,0.69,17,9.2,1
0.085,0.68,8,8,0,1,0,269.55,153.9,944.57,2135.91,0.73,0.55,23,7.5,1
0.121,0.725,5,6,0,1,0,173.32,196.93,1190.35,4094.49,0.79,0.42,18,9.1,1
0.248,0.592,8,8,0,1,0,305.5,185.28,1018.54,4091.05,0.85,0.44,24,6.5,1
0.43,0.074,6,7,0,0,0,67.92,48.19,147.76,610.47,0.26,0.04,17,2.2,0
0.439,0.039,4,6,0,0,0,50.63,47.5,244.01,1141.15,0.36,0.08,23,2.1,0
0.466,0.1,2,3,0,0,1,50.97,16.1,274.02,521.27,0.41,0.08,16,3.8,0
0.779,0.064,5,7,1,0,0,95.23,17.94,163.06,1039.49,0.39,0.05,21,3.1,0
0.22,0.645,5,11,0,1,0,200.85,146.82,1155.31,4088.09,0.8,0.34,23,8.1,1
0.246,0.095,6,3,0,0,1,84.6,34.09,247.29,1434.37,0.43,0.07,20,1.8,0
0.352,0.099,3,3,0,0,0,31.63,54.25,286.42,1065.13,0.36,0.14,24,3.3,0
0.748,0.089,5,3,1,0,0,110.45,50.49,130.33,811.72,0.22,0.11,17,1.6,0
0.161,0.841,7,6,0,1,0,306.93,155.53,987.02,3363.62,0.82,0.53,16,9.5,1
0.212,0.793,7,10,0,1,0,410.12,189.59,857.94,3504.55,0.88,0.56,21,8.5,1
0.262,0.023,5,5,0,0,0,46.33,41.24,184.28,1392.67,0.4,0.05,16,2.1,0
0.371,0.119,2,6,0,0,0,108.91,30.39,264.25,610.63,0.4,0.02,19,2.5,0
0.678,0.044,4,7,1,0,0,78.77,54.28,246.44,1306.56,0.35,0.1,22,3.6,0
0.274,0.041,5,6,0,0,0,46.79,27.83,134.67,1396.77,0.17,0.08,22,2.5,0
0.085,0.775,4,8,0,1,0,392.05,198.86,788.83,3116.05,0.87,0.44,21,9.7,1
0.273,0.035,4,3,0,0,1,84.96,27.99,216.25,654.36,0.29,0.08,18,1.6,0
