positive_score,negative_score,entity_count,key_phrase_count,is_positive,is_negative,is_mixed,avg_amount,std_amount,max_amount,total_amount,pct_online,pct_international,n_transactions,hour_variability
0.436,0.282,3,7,0,0,0,168.95,54.56,288.95,967.4,0.63,0.43,24,4.0
0.27,0.393,2,5,0,0,1,221.18,42.35,202.54,730.67,0.5,0.43,19,2.0
0.206,0.905,10,10,0,1,0,418.38,196.29,1118.65,4783.26,1.0,0.77,24,7.0
0.427,0.36,5,6,0,0,0,109.62,51.71,144.89,723.82,0.61,0.49,25,3.0
0.068,1.0,7,12,0,1,0,574.2,95.54,1122.12,4866.95,1.0,1.0,17,8.3
0.365,0.281,6,8,0,0,0,166.9,31.77,151.95,1223.42,0.6,0.41,25,2.1
0.773,0.28,3,8,1,0,0,266.52,37.28,196.12,1092.41,0.7,0.45,19,3.2
0.163,0.88,5,7,0,1,0,1033.97,175.69,960.92,4551.75,1.0,0.98,15,9.2
0.189,1.0,7,10,0,1,0,838.95,170.33,611.02,4642.61,1.0,0.71,16,9.1
0.239,0.314,6,4,0,0,1,242.3,22.23,263.59,1332.13,0.6,0.4,21,2.2
0.747,0.398,3,8,1,0,0,217.15,26.69,226.8,1039.99,0.68,0.42,15,3.4
0.717,0.395,5,4,1,0,0,151.93,43.47,286.41,602.51,0.73,0.5,17,1.7
0.29,0.362,6,6,0,0,1,90.15,41.2,169.18,1120.92,0.46,0.53,15,3.9
0.888,0.367,5,4,1,0,0,104.28,49.12,104.92,522.12,0.55,0.47,22,3.4
0.405,0.328,6,5,0,0,1,136.58,59.87,185.24,951.39,0.5,0.52,22,3.2
0.266,0.281,6,6,0,0,1,228.1,44.45,154.65,1450.86,0.5,0.46,23,3.9
0.668,0.353,5,6,1,0,0,164.45,27.34,296.8,909.33,0.72,0.43,19,2.0
0.209,0.355,4,7,0,0,1,157.93,53.9,194.64,1468.19,0.51,0.53,22,3.4
0.431,0.38,5,3,0,0,0,246.22,43.18,126.25,532.53,0.73,0.49,19,3.5
0.146,0.835,6,8,0,1,0,468.9,162.27,801.21,2601.57,1.0,0.73,23,7.9
0.104,1.0,5,7,0,1,0,607.78,134.63,508.13,2217.34,1.0,0.89,21,8.0
0.287,0.36,3,3,0,0,1,268.52,50.09,107.92,980.51,0.48,0.44,21,4.0
0.243,0.335,5,6,0,0,1,214.07,46.61,211.93,509.77,0.55,0.48,15,1.7
0.12,0.81,7,9,0,1,0,433.92,127.63,592.9,3702.62,1.0,1.0,24,6.0
0.567,0.284,6,6,1,0,0,218.2,46.79,106.32,1436.21,0.47,0.48,22,3.3
0.224,1.0,6,8,0,1,0,976.3,120.73,1070.38,2240.34,1.0,0.92,21,9.1
0.336,0.354,6,8,0,0,0,193.45,47.92,116.33,560.35,0.52,0.42,23,3.7
0.588,0.397,5,4,1,0,0,150.8,23.2,257.94,1158.71,0.6,0.48,19,3.3
0.591,0.4,5,5,1,0,0,294.32,44.26,139.91,1180.23,0.47,0.4,25,2.1
0.339,0.383,3,6,0,0,0,238.62,48.42,185.1,845.93,0.56,0.55,17,1.6
0.46,0.345,2,6,0,0,1,173.7,47.64,197.33,1373.42,0.72,0.46,24,2.2
0.737,0.389,2,8,1,0,0,122.4,43.03,226.31,1233.11,0.49,0.51,21,3.8
0.086,0.871,7,7,0,1,0,1103.55,101.72,1098.07,3476.83,0.99,1.0,15,7.2
0.153,0.908,6,7,0,1,0,819.72,99.62,773.76,4908.24,0.99,0.96,22,6.6
0.432,0.287,4,6,0,0,0,293.2,35.42,147.21,573.5,0.5,0.48,19,2.3
0.449,0.326,2,8,0,0,0,130.95,42.77,241.36,667.04,0.5,0.41,23,3.3
0.183,0.942,6,7,0,1,0,1008.12,176.68,909.75,4604.81,0.97,0.74,25,6.3
0.061,0.959,9,6,0,1,0,1077.45,84.72,585.48,3356.6,1.0,0.83,15,7.5
0.517,0.289,2,7,1,0,0,297.0,58.43,100.99,1451.81,0.64,0.53,17,2.6
0.153,0.947,7,11,0,1,0,875.15,96.76,520.98,2923.79,1.0,0.78,16,8.4
0.888,0.282,5,8,1,0,0,226.32,34.97,273.63,677.15,0.66,0.53,19,3.9
0.773,0.335,6,7,1,0,0,214.03,54.1,214.12,530.39,0.73,0.5,16,3.2
0.586,0.356,4,3,1,0,0,163.62,44.31,121.32,1157.85,0.75,0.41,24,3.9
0.131,1.0,6,10,0,1,0,961.8,148.04,1016.91,4635.55,1.0,0.83,25,8.3
0.442,0.369,5,8,0,0,0,254.5,34.6,263.57,620.21,0.61,0.4,18,2.3
0.123,0.919,9,12,0,1,0,896.6,126.63,814.09,2712.63,1.0,0.79,25,5.4
0.171,1.0,9,12,0,1,0,839.62,135.62,765.85,4590.0,1.0,0.89,19,5.1
0.302,0.319,2,7,0,0,1,164.72,41.11,206.72,1107.91,0.68,0.52,15,3.3
0.487,0.272,4,3,0,0,0,119.05,15.34,229.49,1398.03,0.52,0.54,23,1.7
0.874,0.316,5,6,1,0,0,97.83,36.86,151.36,784.87,0.54,0.52,16,2.8
