Channel Work,Week,Sequence,Path,Course title,Time,Learning Type,Decision,Notes
Dee,0,,SKILL IQ,Databricks Machine Learning,,Skill IQ,Keep,DONE
Dee,0,,SKILL IQ,AWS Machine Learning,,Skill IQ,Keep,DONE
Dee,0,,SKILL IQ,LLMs for Data Professionals,,Skill IQ,Keep,DONE
Dee,0,,SKILL IQ,RAG for Developers,,Skill IQ,Keep,DONE
Dee,1,1,Introduction to Deep Learning,Deep Learning: The Big Picture,1:28,Course,Keep,DONE
Dee,1,2,Introduction to Deep Learning,Neural Networks for Data Professionals: A Comprehensize Introduction,0:40,Course,Keep,DONE
Dee,1,3,Introduction to Deep Learning,Demystifying Image Recognition: Dive Into Deep Learning,0:28,Course,Keep,DONE
Dee,1,4,Introduction to Deep Learning,Mastering Natural Language Processing (NLP) with Deep Learning,0:42,Course,Keep,DONE
Dee,1,5,Introduction to Deep Learning,Unlocking Speech Recognition: Deep Learning Acoustics,0:39,Course,Keep,DONE
Dee,2,6,Introduction to Deep Learning,Crafting Intelligent Recommendation Systems with Deep Learning,0:41,Course,Keep,DONE
Dee,2,7,Introduction to Deep Learning,Convolutional Neural Networks (CNNs): Visual Mastery with Deep Learning,0:37,Course,Keep,DONE
Dee,2,8,Introduction to Deep Learning,Recurrent Neural Networks (RNNs): Deep Learning for Sequence and Time Series,0:32,Course,Keep,DONE
Dee,2,9,Introduction to Deep Learning,Driving Deep into Deep Belief Networks (DBNs),0:38,Course,Keep,DONE
Dee,2,10,Introduction to Deep Learning,Transformers and LLMs ,0:33,Course,Keep,DONE
Dee,3,11,Databricks Machine Learning,Building Machine Learning Models on Databricks,2:21,Course,Keep,DONE
Dee,3,12,Databricks Machine Learning,Building Deep Learning Models on Databricks,2:29,Course,Keep,DONE
Dee,4,13,Databricks Machine Learning,Managing Models Using MLflow on Databricks,1:59,Course,Keep,DONE
Dee,4,14,Databricks Machine Learning,Feature Sharing and Discovery Using the Databricks Feature Store,2:02,Course,Keep,DONE
